Area,"ROUND(Percent, 0)"
Alabama,11.0
Alaska,10.0
Arizona,10.0
Arkansas,14.0
California,10.0
Colorado,10.0
Connecticut,8.0
Delaware,9.0
District of Columbia,7.0
Florida,11.0
Georgia,10.0
Guam,12.0
Hawaii,9.0
Idaho,10.0
Illinois,9.0
Indiana,10.0
Iowa,9.0
Kansas,10.0
Louisiana,12.0
Maine,11.0
Maryland,9.0
Massachusetts,9.0
Michigan,11.0
Minnesota,8.0
Mississippi,11.0
Missouri,10.0
Montana,10.0
Nebraska,8.0
Nevada,12.0
New Hampshire,10.0
New Jersey,8.0
New Mexico,11.0
New York,9.0
North Carolina,10.0
North Dakota,8.0
Ohio,12.0
Oklahoma,10.0
Oregon,10.0
Puerto Rico,9.0
Rhode Island,11.0
South Carolina,11.0
South Dakota,9.0
Tennessee,13.0
Texas,10.0
U.S. Virgin Islands,5.0
Utah,9.0
Vermont,10.0
Virginia,10.0
Washington,10.0
West Virginia,15.0
Wisconsin,9.0
Wyoming,10.0
